Order_Id,Product_Id,Product_Name,User_Id,Order_Date,Return,City,Country,Client_Id,Client_Email,Order_Latitude,Order_Length,Client_Name,Birth_Day,Deliver_Man_Id,Name_Deliver_Man,Product_Cost,Product_Value,Market_Name
69415226,5,socks,37315032,1988/07/30,,Ca,Co,72466819,elizabethlopez@example.com,10.4002813,-75.5,James Kirk,1988/07/30,297,Danielle Mcclain,721,74,Tienda2
68594205,6,hat,24735231,1996/02/04,,Bo,Co,78031882,mcculloughpeggy@example.org,4.648625,-74.1,Blake Savage,1996/02/04,483,Cynthia Lopez,325,885,Tienda2
4498487,5,socks,97679177,2009/11/30,,Me,Co,55086745,bergerjustin@example.com,6.2441988,-75.6,Mark Howard,2009/11/30,8,Carlos White,952,813,Tienda2
95989302,9,bikini,98658029,1991/01/09,,Bo,Co,30178914,michael52@example.com,4.648625,-74.1,Kurt Bentley,1991/01/09,793,Misty Arias,630,552,Tienda2
97928198,1,shoes,47637842,2014/11/11,,Me,Co,73743483,brooke70@example.com,6.2441988,-75.6,Joseph Holmes,2014/11/11,882,Nicole Ryan,277,689,Tienda2
81377462,2,skirt,54895011,1983/09/22,,Li,Pe,16246834,igonzalez@example.com,-12.037964,-77.0503238,Julie Bates,1983/09/22,770,Jacqueline Caldwell,457,728,Tienda2
39852050,9,bikini,65050303,1983/06/15,,Li,Pe,48634229,patriciatran@example.org,-12.037964,-77.0503238,Jason Brown,1983/06/15,107,Gene Little,278,974,Tienda2
97264430,7,T-Shirt,55049190,2016/04/13,,Ca,Co,60389890,christensencharles@example.net,10.4002813,-75.5,Wendy Conner,2016/04/13,707,Andrea Hall,671,249,Tienda2
54972410,3,underwear,18984598,2015/07/22,,Li,Pe,49525606,campbelldavid@example.com,-12.037964,-77.0503238,Allison Williams,2015/07/22,440,Victor Cunningham,122,799,Tienda2
15346859,5,socks,95934342,1979/09/05,X,Bo,Co,90265070,owilliams@example.com,4.648625,-74.1,Leslie Munoz,1979/09/05,741,Jeremy Bell,820,309,Tienda2
55267935,4,scarf,45279592,2006/06/18,,Me,Co,89644912,rodney13@example.org,6.2441988,-75.6,William Robinson,2006/06/18,850,Amy Griffin,495,460,Tienda2
43647983,4,scarf,51869012,1984/06/13,,Bo,Co,49568636,zreese@example.org,4.648625,-74.1,Susan Aguirre,1984/06/13,649,William Lee,291,395,Tienda2
46812421,4,scarf,8631639,1999/07/20,,Ca,Co,85784464,davidsmith@example.com,10.4002813,-75.5,Diane Martinez,1999/07/20,979,Jennifer Sanders,579,868,Tienda2
55608462,4,scarf,63970565,1980/01/29,X,Me,Co,7126347,brandon90@example.net,6.2441988,-75.6,Amanda Fernandez,1980/01/29,223,Steven Smith,873,523,Tienda2
40286504,5,socks,25777890,1993/08/03,,Li,Pe,57898065,ericriley@example.com,-12.037964,-77.0503238,Stephanie Lloyd,1993/08/03,8,Vanessa Nguyen,823,381,Tienda2
3952935,4,scarf,28107035,1975/06/28,,Bo,Co,94826037,pellis@example.com,4.648625,-74.1,Randy Cohen,1975/06/28,588,Ronald Peterson,749,483,Tienda2
43681021,5,socks,87948142,1991/05/14,,Li,Pe,14766586,williamstokes@example.net,-12.037964,-77.0503238,Jeffrey Gordon,1991/05/14,547,Kimberly Miller,478,868,Tienda2
86619782,2,skirt,11643407,1970/01/02,,Ca,Co,81082971,uharris@example.com,10.4002813,-75.5,Patrick Washington,1970/01/02,960,Maria Watson,821,720,Tienda2
2491063,5,socks,16551408,2015/06/14,,Ca,Co,94011037,carterpatricia@example.org,10.4002813,-75.5,Travis Stewart,2015/06/14,404,Michael Harris,956,748,Tienda2
84304268,1,shoes,20215079,2012/05/04,,Li,Pe,15822250,ericmurphy@example.com,-12.037964,-77.0503238,Maria Hodges,2012/05/04,293,Michael Vargas,457,54,Tienda2
85829265,1,shoes,59243559,1973/03/26,,Ca,Co,63993625,andreabarrett@example.com,10.4002813,-75.5,Heather Williams,1973/03/26,805,Amanda Porter,461,497,Tienda2
53068490,7,T-Shirt,40504495,2001/09/07,,Li,Pe,54882767,bhall@example.net,-12.037964,-77.0503238,Nancy Thomas,2001/09/07,671,Kimberly Perez,792,320,Tienda2
93831640,4,scarf,82205175,1973/08/27,,Li,Pe,33260239,kevincain@example.org,-12.037964,-77.0503238,Caitlyn Hall,1973/08/27,803,Angela Hopkins,529,735,Tienda2
30978103,8,gloves,49881875,2015/05/03,X,Li,Pe,2687300,matthewsjoseph@example.org,-12.037964,-77.0503238,Justin Snyder,2015/05/03,355,Deanna Davis,714,816,Tienda2
70804234,1,shoes,2448167,1981/09/05,,Me,Co,99996918,debrajimenez@example.com,6.2441988,-75.6,Gloria Davidson,1981/09/05,147,Monique Vasquez,78,806,Tienda2
65977201,4,scarf,19644822,1977/07/23,,Ca,Co,9766985,robertsheppard@example.net,10.4002813,-75.5,Dr. Dana Davis,1977/07/23,827,Steven Owens,795,891,Tienda2
